pid,reviews,brand,product_name
455936,14100,Summer Fridays,Lip Butter Balm for Hydration & Shine
508264,476,Rare Beauty by Selena Gomez,Mini Soft Pinch Liquid Blush
458747,3500,PATRICK TA,Major Headlines Double-Take Crème & Powder Blush Duo
476718,2700,ONE/SIZE by Patrick Starrr,Mini On 'Til Dawn Mattifying Waterproof Setting Spray
469825,2400,Saie,Dew Blush Liquid Cream Blush
461147,3600,Charlotte Tilbury,Airbrush Flawless Waterproof Setting Spray
479343,3200,Rare Beauty by Selena Gomez,Warm Wishes Effortless Cream Bronzer Stick
514568,2000,Yves Saint Laurent,Make Me Blush 24H Buildable Powder Blush
507797,1000,Rare Beauty by Selena Gomez,Brow Harmony Flexible Lifting and Laminating Eyebrow Gel
471242,1800,HUDA BEAUTY,Mini Easy Bake Loose Baking & Setting Powder
450856,545,Benefit Cosmetics,Mini 24-HR Brow Setter Clear Brow Gel with Lamination Effect
472997,1000,Saie,Sun Melt Natural Cream Bronzer
472327,1600,MAKEUP BY MARIO,SoftSculpt® Cream Contour & Bronzer Stick
509724,134,SEPHORA COLLECTION,Precious Gemstones Mid-Size Eyeshadow Palette
515372,14,Glow Recipe,Mini Watermelon Glow Niacinamide Hue Drops Sun Glow Serum
461148,3600,Charlotte Tilbury,Mini Airbrush Flawless Setting Spray
509804,191,SEPHORA COLLECTION,Mini Love The Lift Curling + Volumizing Mascara
515658,36,ONE/SIZE by Patrick Starrr,On 'Til Dawn Glitter Waterproof Setting Spray
514463,29,Rare Beauty by Selena Gomez,Rare Beauty x Sephora Travel Makeup Pouch
515026,64,SEPHORA COLLECTION,Colorful Eyeshadow
501496,298,SEPHORA COLLECTION,Satin Hydrating Lipstick
501777,1000,Summer Fridays,Sheer Skin Tint with Hyaluronic Acid + Squalane
510926,264,SEPHORA COLLECTION,Nourishing Lip Butter
509419,2500,Urban Decay,Face Bond Self Setting Waterproof Foundation
500452,873,MAKEUP BY MARIO,SoftSculpt Transforming Skin Enhancer®
505832,586,Kosas,Mini Cloud Set Baked Setting & Smoothing Talc-Free Vegan Powder
504020,787,Charlotte Tilbury,Matte Beauty Blush Wand
484039,1300,Danessa Myricks Beauty,Yummy Skin Blurring Balm Powder - Tinted Primer & Foundation
505800,893,NATASHA DENONA,Hy-Glam Brightening & Hydrating Medium to Full Coverage Crease Proof Serum Concealer
512639,1400,HUDA BEAUTY,Easy Blur Silicone-Free Smoothing & Pore-Minimizing Primer
457632,168,NARS,Mini Laguna Bronzer Powder Talc-Free
468175,2100,LAWLESS,Forget The Filler Lip Plumper Line Smoothing Gloss
468685,2000,Kosas,Cloud Set Baked Setting & Smoothing Talc-Free Vegan Powder
467795,305,Too Faced,Lip Injection Power Plumping Hydrating Lip Gloss
515153,202,MILK MAKEUP,Watermelon Jelly Brightening Serum Stick with Peptides
515519,613,Rare Beauty by Selena Gomez,Soft Pinch Matte Bouncy Blush
505462,204,GXVE BY GWEN STEFANI,Paint It Up Clean 24-Hr Cream Eyeshadow
504872,604,Fenty Beauty by Rihanna,Fenty Icon Velvet Liquid Lipstick
515227,44,MILK MAKEUP,The Jelly Lip Kit: Lip + Cheek Stain & Lip Oil Duo
429235,78,Beautyblender,BEAUTYBLUSHER Makeup Sponge
480000,2700,Yves Saint Laurent,Candy Glaze Lip Gloss Stick
515507,18,Charlotte Tilbury,Charlotte’s Beautifying Eye Trends Eyeshadow Palette
472325,254,MAKEUP BY MARIO,Soft Pop Powder Blush
475599,2400,Rare Beauty by Selena Gomez,Perfect Strokes Universal Volumizing Mascara
64546856,2400,Rare Beauty by Selena Gomez,Liquid Touch Brightening Concealer
509469,526,SEPHORA COLLECTION,Love The Lift Curling + Volumizing Mascara
483662,1800,Hourglass,Phantom Volumizing Glossy Lip Balm
483470,845,LAWLESS,Mini Forget The Filler Lip Plumper Line Smoothing Gloss
471243,1300,HUDA BEAUTY,Lip Contour 2.0 Automatic Matte Lip Pencil
479342,282,Rare Beauty by Selena Gomez,Soft Pinch Blush Brush
456158,1600,Armani Beauty,Luminous Silk Hydrating Face and Under-Eye Concealer
411885,8400,IT Cosmetics,CC+ Cream Full Coverage Color Correcting Foundation with SPF 50+
511541,1300,Fenty Beauty by Rihanna,Hydra Vizor Huez Tinted Moisturizer Broad Spectrum Mineral Spf 30 Sunscreen
511548,20,PATRICK TA,Mini Major Volume Plumping Lip Gloss
505560,527,SEPHORA COLLECTION,Shape & Set Clear Eyebrow Gel
512549,1500,Laura Mercier,Caviar Stick Cream Eyeshadow
515452,9,VIOLETTE_FR,YEUX PAINT Liquid Eyeshadow & Eyeliner
507860,247,Fenty Beauty by Rihanna,Shadowstix Longwear Eyeshadow Stick
437097,3000,MILK MAKEUP,Lip + Cheek Cream Blush Stick
432500,5300,DIOR,Backstage Face & Body Foundation
382309,1900,Hourglass,Ambient® Lighting Palette
87985432,17500,Fenty Beauty by Rihanna,Pro Filt’r Soft Matte Longwear Liquid Foundation
468343,391,Anastasia Beverly Hills,Universal Luminous Tinted Lip Gloss
483686,600,House of Lashes,House of Lashes Iconic False Eyelashes
515194,171,Urban Decay,Face Bond Long-Lasting Powder Blush Suede
509827,233,Danessa Myricks Beauty,Yummy Skin Mattifying Water Powder Serum with Niacinamide and Hyaluronic Acid
467208,10500,Lancôme,Lash Idôle Lengthening & Volumizing Mascara
19700127,1500,Fenty Beauty by Rihanna,Cheeks Out Freestyle Cream Blush
513504,435,Armani Beauty,Luminous Silk Acqua Highlighter
506830,4,SEPHORA COLLECTION,Essential False Lashes Value Pack
515057,48,SEPHORA COLLECTION,Mini Face and Eye Brush Set
476014,23,ROSE INC,Number 1 Concealer Brush
511954,67,NARS,Total Seduction Smudge-Proof Eyeshadow Stick
454333,4,Fenty Beauty by Rihanna,Plush Eyeshadow Brush 240
513383,341,MERIT,Great Skin Priming And Firming Moisturizer With Peptides And Hyaluronic Acid
484031,631,Beautyblender,BOUNCE™ Magic Fit Creamy Bronzer & Highlighter Duo
441854,643,Too Faced,Better Than Sex Easy Glide Waterproof Liquid Eyeliner
482000,441,GXVE BY GWEN STEFANI,Line It Up Clean 24-Hr Gel Pencil Waterproof Eyeliner
450535,8,tarte,mini Amazonian clay 12-hour blush
473304,367,Drunk Elephant,O-Bloos™ Rosi Glow Drops with Vitamin F
506673,26,Danessa Myricks Beauty,"Yummy Face 1.0 All Over Complexion Brush - For Foundation, Blush, Bronzer & Powder"
467760,1300,DIOR,Rouge Dior Refillable Lipstick
512216,103,SEPHORA COLLECTION,Essential Brush - 06 Multitasker Face
510405,160,Danessa Myricks Beauty,Yummy Skin Blurring Balm Powder Lowlighter Soft Glow Highlighter
515971,47,SEPHORA COLLECTION,Colorful 8HR Longwear Transferproof Lip Liner
468433,768,Westman Atelier,Face Trace Cream Contour Stick
39787544,5400,Fenty Beauty by Rihanna,Stunna Lip Paint Longwear Fluid Lip Color
64879845,3800,Fenty Beauty by Rihanna,Killawatt Freestyle Highlighter
510065,83,MAKE UP FOR EVER,Mini HD Skin Hydra Glow Skincare Foundation with Hyaluronic Acid
509539,479,SEPHORA COLLECTION,Best Skin Ever Multi-Use Hydrating Glow Concealer
515461,10,ISAMAYA,Microbial Gel Face Prep Primer
504871,25,Hourglass,Mini Unlocked™ Instant Extensions Mascara
509411,2100,Anastasia Beverly Hills,Mini Brow Definer 3-in-1 Triangle Tip
384060,11400,Anastasia Beverly Hills,"DIPBROW® Waterproof, Smudge Proof Brow Pomade"
514576,964,Rare Beauty by Selena Gomez,Find Comfort: Awaken Confidence Body & Hair Fragrance Mist with Niacinamide
515553,94,HUDA BEAUTY,Easy Bake Blurring Setting Spray with 16-Hour Wear
468634,61,Bobbi Brown,Jumbo Vitamin Enriched Face Base Moisturizer & Primer with Vitamin C + Hyaluronic Acid
472977,1600,DIOR,Rouge Dior Forever Liquid Transfer-Proof Lipstick
510431,434,Westman Atelier,Lip Suede Hydrating Matte Lipstick with Hyaluronic Acid
454943,103,Laura Mercier,Pure Canvas Primer - Illuminating
506509,112,Fenty Beauty by Rihanna,Match Stix Color-Adaptive Cheek + Lip Stick
456106,1100,PAT McGRATH LABS,Sublime Perfection Concealer
481403,977,MERIT,Signature Lip Lightweight Satin Lipstick
479712,2900,MAKE UP FOR EVER,HD Skin Waterproof Natural Matte Foundation
471048,1300,Kosas,Air Brow Clear + Clean Lifting Treatment Eyebrow Gel with Lamination Effect
455265,11,Urban Decay,Mini Stay Naked Correcting Concealer
377821,962,DIOR,Diorshow Iconic Overcurl Mascara
403632,407,SEPHORA COLLECTION,PRO Brow Brush #20
513109,24,SEPHORA COLLECTION,Essential Brush - 04 Cheek
506824,19,SEPHORA COLLECTION,Jumbo Deep-Cleaning Brush and Sponge Shampoo
502222,501,Fenty Beauty by Rihanna,Gloss Bomb Ice
61003,19800,bareMinerals,Original Loose Talc-Free Powder Mineral Foundation SPF 15​
474348,27,Melt Cosmetics,SexFoil Liquid Highlighter
512958,25,Urban Decay,Mini All Nighter Hydrating Hyaluronic Acid Dewy Setting Spray
473850,37,Benefit Cosmetics,Playtint Lip & Cheek Stain
500407,788,Charlotte Tilbury,Beautiful Skin Medium to Full Coverage Radiant Concealer with Hyaluronic Acid
504015,57,Rare Beauty by Selena Gomez,Positive Light Precision Highlighter Brush
415984,414,tarte,Fake Awake Eye Highlighter
436155,632,Kaja,Mochi Glow Bouncy Highlighter
513466,88,iNNBEAUTY PROJECT,Latte Lips Lip Oil Glaze Duo
500997,1000,DIOR,Rouge Dior Forever Transfer-Proof Lipstick
482758,2500,Urban Decay,All Nighter Vitamin C Hydrating Setting Spray
514927,5,Too Faced,Foreplay + Better Than Sex Primer & Mascara Duo
297404,55,DIOR,Forever Natural Velvet Matte Compact Foundation
446027,552,Anastasia Beverly Hills,Mini Water-Resistant Eye Primer
500887,299,PAT McGRATH LABS,Mothership X Eyeshadow Palette: Moonlit Seduction
405521,229,SEPHORA COLLECTION,PRO Blush Brush #93
420019,476,SEPHORA COLLECTION,PRO Foundation Brush #70
313012,1200,SEPHORA COLLECTION,PRO Foundation Brush #56
512642,279,Freck Beauty,FACE HACK Blur + Bond Setting Spray
437987,1200,IT Cosmetics,Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer
510426,512,caliray,Hideaway Brightening + Hydrating Under Eye Color Corrector Concealer
404041,485,SEPHORA COLLECTION,PRO Foundation Brush #47
481356,580,TOM FORD,Eye Color Quad Crème Eyeshadow Palette
47478987,437,Rare Beauty by Selena Gomez,Illuminating Primer- Always An Optimist Collection
513636,7,Range Beauty,Smooth Out Setting Powder Talc-Free
515447,15,ISAMAYA,Lips Metal- Sheer Metallic Balm
511754,24,REFY,Dual Ended Complexion Brush
404827,4300,Anastasia Beverly Hills,Brow Definer 3-in-1 Triangle Tip Easy Precision Eyebrow Pencil
506794,489,Kosas,Brow Pop Nano Ultra-Fine Detailing + Feathering Eyebrow Pencil
230701,756,TWEEZERMAN,ProCurl Eyelash Curler
506499,474,NATASHA DENONA,Yucca Eyeshadow Palette
504782,498,Glossier,Perfecting Skin Tint for Dewy Sheer Coverage
447744,153,Kosas,10-Second Eye Gel Watercolor Eyeshadow
515380,141,Dr. Idriss,Barrier Baste Exfoliating AHA Lip Treatment
511650,42,Fara Homidi,Smudge & Contour Lip Pencil
513366,113,MACRENE actives,High Performance Tinted Moisturizer
506146,201,Velour Lashes,Velour-Xtensions™ False Lash Clusters
514696,3100,Benefit Cosmetics,BADgal Bounce Volumizing Mascara
500777,1500,fresh,Sugar Lip Balm Hydrating Treatment
455321,818,Charlotte Tilbury,Luxury Eyeshadow Palette - Pillow Talk Collection
516189,-1,Beautyblender,Midnight Blend & Blur Set with Powder Puff and Beautyblender®
506360,598,ILIA,In Full Micro-Tip Eyebrow Pencil
509396,214,tarte,maracuja juicy lip vinyl
511407,19,NARS,Mini Orgasm Blush and Lip Duo
512208,479,Anastasia Beverly Hills,Blurring Serum Liquid Blush
477837,220,MAKEUP BY MARIO,Ultra Suede® Lipstick
504365,1100,Kaja,Jelly Charm Glazed Lip Stain & Blush With Keychain
512149,275,Clarins,Hydrating Peptide & Plumping Lip Oil Balm
504885,319,HUDA BEAUTY,Matte Obsessions Eyeshadow Palette
510377,361,Benefit Cosmetics,Plushtint Moisturizing Matte Lip Tint
274001,1900,fresh,Sugar Lip Polish Exfoliator
501181,2000,Urban Decay,Vice Lip Bond Glossy Longwear Liquid Lipstick
511576,258,MILK MAKEUP,KUSH High Roll Defining & Volumizing Tubing Mascara
513396,13,MAKEUP BY MARIO,Master Pro Puff
467783,274,NATASHA DENONA,I Need A Nude Lip Liner
471047,659,Kosas,Brow Pop Dual-Action Filling and Shaping Easy Eyebrow Pencil
429277,1100,Velour Lashes,Effortless - No Trim - Natural Lash Collection
515085,-1,Benefit Cosmetics,Lash Fan Club Fan Fest Mascara Booster Set
509855,165,Glossier,Cloud Paint Gel Cream Bronzer
436270,176,ILIA,Color Block High Impact Lipstick
506239,659,Charlotte Tilbury,Airbrush Flawless Matte Lip Blur Liquid Lipstick
509445,285,HUDA BEAUTY,Creamy Obsessions Eyeshadow Palette
511961,26,REFY,Summer Color Lip and Cheek Collection
510445,699,Too Faced,Mini Born This Way Complexion-Inspired Eyeshadow Palette
477378,237,Velour Lashes,Magnetic Effortless Kit - No Trim No Measure Magnetic Lash Kit
512684,462,Givenchy,Le Rouge Interdit Satin Hydrating Lipstick
512241,14,REFY,Face Setter Hydrating and Plumping Setting Spray with Polyglutamic Acid
462330,28,Anastasia Beverly Hills,Mini Translucent Loose Setting Powder
506288,309,NARS,Light Reflecting™ Undereye Brightener
509695,31,tarte,Key Largo Glow bronzing drops
400625,275,Bobbi Brown,Luxe Lipstick
463116,57,Urban Decay,Mini All Nighter Ultra Matte Setting Spray
476456,28,Fashion Fair,Fabulous Face Priming Serum
415237,1900,First Aid Beauty,Hello FAB Coconut Skin Smoothie Priming Moisturizer
511462,232,Kate Somerville,Hydrakate Illuminating Sunscreen SPF 50+ Drops with Ectoin
507326,120,MAKE UP FOR EVER,Artist Longwear Skin-fusing Powder Blush
504134,221,MARA,Sea Silk Lip Balm
510801,3,MAKEUP BY MARIO,E7 Dual-Ended Eyebrow Brush
510085,267,Lion Pose,Ghost-Buster 100% Mineral Sunscreen SPF 42 with Super Zinc for No White-Cast
476712,1100,MILK MAKEUP,Bionic Liquid Blush with Hyaluronic Acid
502321,644,HAUS LABS BY LADY GAGA,Bio-Blurring Talc-Free Loose Setting Powder
507583,149,Velour Lashes,Glue & Go Lash Adhesive Pen
511909,450,Benefit Cosmetics,Dew La La All-Over Glow Liquid Highlighter
478279,139,Iconic London,Glaze Dual Ended Eyeshadow Crayon
502303,231,NATASHA DENONA,My Dream Lip Crayon - Long Lasting Easy Glide Lip Liner
504789,157,Glossier,Brow Flick Microfine Detailing Eyebrow Pen
447764,102,PAT McGRATH LABS,Skin Fetish: Sublime Perfection Hydrating Primer
450511,304,HUDA BEAUTY,Power Bullet Matte Lipstick - Throwback Collection
506814,32,Too Faced,Moon Crush Highlighter
502353,131,NATASHA DENONA,My Dream Lip Gloss - Soft & Hydrating Lip Shine
507457,7,Fashion Fair,Iconic Lip Shaper Liner
469438,4800,Benefit Cosmetics,Mini They're Real! Magnet Extreme Lengthening Mascara
510722,6,Ami Colé,Flush Hour Cream Blush & Lip Oil Set
500283,1200,HAUS LABS BY LADY GAGA,PhD Hybrid Hydrating Tinted Lip Oil
503304,22,SIMIHAZE BEAUTY,Lunar Lip Gel Lip Gloss
504293,348,caliray,Surfproof Water Resistant No-Transfer Setting Spray With Niacinamide
507754,367,bareMinerals,Original Pure Serum Radiant Natural Liquid Foundation Mineral SPF 20
438635,89,BeautyBio,The Pout Sparkling Rosé Hyaluronic Acid Collagen Plumping Lip Serum
475143,136,NUDESTIX,NUDESKIN 3-Step: Citrus Renew Set For Makeup
408218,1800,Benefit Cosmetics,Goof Proof Waterproof Easy Shape & Fill Eyebrow Pencil
506667,82,Anastasia Beverly Hills,Cosmos Eyeshadow Palette
506827,100,Too Faced,Mini Better Than Sex Foreplay Mascara Primer
501569,550,caliray,So Blown Pore-Minimizing & Hydrating Collagen Peptide Primer with Niacinamide
388225,2000,Urban Decay,Naked2 Basics Matte Eyeshadow Palette
284710,15,GUERLAIN,Terracotta Sunkissed Natural Bronzer
453943,437,Urban Decay,All Nighter Ultra Matte Makeup Setting Spray
309813,290,Urban Decay,24/7 Eyeshadow
507338,182,Mango People,Dewy Glow Cream Highlighter Stick
506894,211,Benefit Cosmetics,Hubba Brow Brow Enhancing Serum
505387,588,TOM FORD,Traceless Soft Matte Concealer
507781,1500,Urban Decay,Naked Metal Mania Metallic Eyeshadow Palette
503681,1600,Benefit Cosmetics,Fluff Up Brow Flexible Brow-Texturizing Wax
473741,547,ONE/SIZE by Patrick Starrr,Turn Up the Base Butter Silk Concealer
475966,923,MILK MAKEUP,Sunshine Under Eye Brightening Light Coverage Concealer
390961,1200,Cinema Secrets,Makeup Brush Cleaner
504152,825,GXVE BY GWEN STEFANI,Can't Stop Staring Clean Lengthening & Lifting Mascara
500263,299,NATASHA DENONA,HY-GEN - Energizing & Hydrating Primer Serum
54450,3500,Lancôme,Définicils High Definition Lengthening Mascara
453273,699,Gucci,Velvet Matte Lipstick
474380,435,Urban Decay,Naked3 Mini Soft Pink Eyeshadow Palette
479835,253,caliray,Surfproof Easy Glider Eye Definer Waterproof Eyeliner Pencil
433125,1800,MILK MAKEUP,KUSH Fiber Eyebrow Gel
422552,548,TOM FORD,Shade and Illuminate Highlighting Duo
450514,386,LAWLESS,Mini The Little One Talc-Free Eyeshadow Palette
450887,938,HUDA BEAUTY,Nude Obsessions Eyeshadow Palette
17876556,3000,Fenty Beauty by Rihanna,Flyliner Longwear Liquid Eyeliner
69517,1200,Anastasia Beverly Hills,Dual-Ended Angled Powder Eyebrow Brush 7B
479827,1000,Benefit Cosmetics,The POREfessional Lite Water-Based Pore Primer
471239,748,Gucci,Glow & Care Shine Lipstick
481088,551,Freck Beauty,Lashrocket Liquid Liner with Lash Enhancing Peptides
481160,285,ROSE INC,Number 3 Foundation Brush
394935,870,Cinema Secrets,Makeup Brush Cleaner Pro Starter Kit
462841,1500,Charlotte Tilbury,Pillow Talk Push Up Lashes Volumizing & Lengthening Mascara
398775,2800,MAKE UP FOR EVER,Ultra HD Invisible Cover Stick Foundation
422464,3400,Lancôme,Mini Monsieur Big Mascara
431110,201,bareMinerals,Gen Nude Eyeshadow Palette
462332,16,bareMinerals,Strength & Length Serum-Infused Tinted Brow Gel
31285448,39,Fenty Beauty by Rihanna,Precision Concealer Brush 180
202625,660,Too Faced,Shadow Insurance 24-Hour Eyeshadow Primer
444423,37,bareMinerals,Endless Glow Highlighter
443307,955,MILK MAKEUP,KUSH Waterproof Mascara
472178,128,NUDESTIX,Brow Set Gel XL
